trace_id	family_id	requested_bytes	live_count	allocation_calls_full_trace
3536	1d61dbef9f7a9717bb2cb7251a8477f81c58459792cb31a123dfd15b317327f4	7620	1065	1065
3537	1d61dbef9f7a9717bb2cb7251a8477f81c58459792cb31a123dfd15b317327f4	7620	1065	1065
3812	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	7216	451	451
3633	77be961186e8c758162cbe177fecb1797f0f5a45bff59be0103d2abf25eb47ff	6592	1	1
3771	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	6348	1397	1397
3772	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	6348	1397	1397
3606	f4dffd87ec76a3bb0853c541bd1fc9d84f13eaa9b938a6b1f855cd24cdfc91ab	5734	1602	1602
3607	f4dffd87ec76a3bb0853c541bd1fc9d84f13eaa9b938a6b1f855cd24cdfc91ab	5734	1602	1602
3542	1d61dbef9f7a9717bb2cb7251a8477f81c58459792cb31a123dfd15b317327f4	5440	806	806
3610	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	5440	340	340
3445	ddad8a7d3b08ca7ba4c54e256931b5d9d220d7d30fa9bc12193d873f7fd86ed4	5174	1458	1458
3446	ddad8a7d3b08ca7ba4c54e256931b5d9d220d7d30fa9bc12193d873f7fd86ed4	5174	1458	1458
3540	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	5104	638	1358
3784	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	4992	36	36
3785	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	4992	36	36
3366	f870549f971c3bcb0266c54168876e3b941e296b68ef3968f60776e671e57a5e	4928	88	88
3440	d42220e4c0b5ee2edd6134684e754a90a249deb1d4327384f8fabb9d9b120c79	4168	521	2618
3208	372ae53a11f2bdf70733d50514e75dbe17f17b594b5e03286eabb2f26e62f36c	3696	1	1
3786	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	2880	36	36
3787	b6c55a3d7a517b2b5398e5113d88b8311dc7ad29bc217791c818cbc25f08b091	2880	36	36
3684	72cad0026120c50af7d386321b6ee737585055b163be5bd0db7aef205508c22c	2840	1	1
