family_id	requested_bytes	live_count
075163944ac5d388fd7bed2dc5eb1ffcd0d2ef719bc1204dc87432eb245882dd	288	4
11380106c9f42261f49a8660107ff53dcc9f857f21ecf5763f293a78adc4c78c	288	1
2e362a31aab39ed588d22d840f93e3fd2eac128d48c942a652982ebbabb8ab91	288	36
448d57f07b8d24653caaa7fcfbd057cbd5e5c181204020de3dc6065f866082f2	288	6
ac2f72e85475996df5e4447a6fcf4dd0b51312ba6ad617fe276de341b60ec8fc	276	4
419933c8fd6d0d374093e23d577824bab4c8be641d6c9155b2756151ffb0b459	272	1
a2c270c8a5a8d6c6321b31d7e26f46e6f080e6a2d84fe0af5879e67304be0fed	272	2
72b0f99b8349bb7b8f6caaa7b7cc008049b5ba7d8228b57ab6fff14f143c053e	264	1
882ea6e1c2701ce5bfaa9420f0091d24ac72db02ddd09f153aa28820d18ebacf	264	5
b6129c2f69ea4fdbe45600cd508cdd5db0dcf69fdb827bcf87c90d5b3a37c7db	264	2
64cd864b1070def8685577729392fe45796c8cafc94f37d196025303ee5d4d47	256	1
c156b22617a102fe9571f88bc00eb81df00e61d44bebc74ff0723cc3bbb1403c	256	1
ae781395194ce28362fbb8c8d1d93318cf1b122409d98480df105bbaa709ff87	248	2
255fa18ad4649c9991f6316ad14a3bf10646e14518210fba5ebd912eec1f97b8	244	1
c73d3f6f3fb7010b890c7494eda829999c0ea6bb90237eca394004b68c4d1aed	244	1
4dca13caf745cb432bb835cf795aa1269da67bc9b074a0978515bb9f293c6d76	240	5
917601d5c640a908cc1a8bb7245f46317a88492c911c03ae35d34654a95a3824	240	1
1d8a838ddf6867dd55126c94d7395ab569cf0f4493a82e45fd0eaa1c51f82755	232	5
331ef57ca23ee25133da10ff950e228afba967a0dd3c7206d942b2dbf9859656	224	1
6cc5e6a7895c833ee25782f7d89d453371ca72d012cbd16b264113bdc401b8ca	224	3
781aa38583519ab9a8833154cb0ed7895a4c748a08a9b8e2291f31dab1c526d0	224	1
98f39d588d48125a3f98324c9665cffeba646c31c1e12daf94766e31b3303fa1	224	1
c3ed9422a2622e542b5934b1eba7dfd5788596fe1be3f1751fe4833587a8e2cc	216	8
dd61c7130419a501bd0667b27233cf99694186844c12bc425dfd6bb61b48d3e9	216	2
7c0b3157abae812e6ff5c53a68b2e5b584db8e6395b26bafdf81cc3d55a9a7b3	212	1
65628fbfd8eea0ba3d55f7490dc21cf2f523fb085cc5edbf2acc07e61d738a9a	200	5
670297148fc36e17e664809ea562a44bd7d59789f5732bf2ea03ec43423d36e8	200	2
6929d9bb67a00fec91d90f4559b9ed26003bf7fb74134da08e1e0095ccca3982	192	4
7e0e45c15744d8452570847f076ec88b4e8c943d70ede9bc61b6e69c8b5ab844	192	1
820ff130d270b43586b99a0212433b83e233c1a9aba1a063143e2ed90a598410	192	1
ae1e38174a6d2a373314fa16735f458ed716e00dabec759acca45470561cc74d	192	2
6372c45c8b0f7e395fb0da1dc75b46a57bc14f1f297df52b295dd199f94f0de8	191	25
88bf6d234899e009021c1b6b9cb2b25fc041ea986670f2e423b106a9433ce31b	182	3
0d19a670d841b93b363b568dcfeb104b56588ba048699ceab44a16f8e645ca83	180	1
53b09ddf21c09e3bf7d9e3a9d3d47f453324e322aa8784521cc912b9837dea2d	168	1
7e8b8d8066bd1cc39ec51346e817f560355462b8a7591699a535e1b9baba7c27	168	1
bcac848766cab80d3b791538d7991bf41ec3a16932507e01172a18d9e34760dd	168	1
35ade8e96517f8e8ea00b9dd01fe2a9e2db4dfa92c360385a0edf79e1731c488	160	2
96017cb921d87cd5c0ab08e89669fcc08b50f6d93e7eb9213e59f88be19918cb	160	1
b6eab2c2660eccaa094ac56846172fd9d74b032b166b4e5597a71294894587d6	160	5
ed1af01a81203a3866fb72d810168a10a3c1b7e58882a6b999406b477a897eed	160	1
abff6880d426cbe59e117f65b0d3b12993eab626d9dae0e9bbdeed77b94a67d8	157	3
02c9bda346a88976e269d0be2a7b2efa24fcbf4c395a940726f431c57755eafc	152	1
91d21d2d116ad1d872cc7969bbfe65d40307733ebaa9afad9c325f25b9212ef5	152	1
b0ec0a1113026236e64238a15e63cfce56e2ed4bcc74877e6bece6403c5b6470	152	2
127a7572eaec280adc763914c0169bbc615ec87768b27b1d64e4b88527965fb0	148	1
4c247950c8bf165c6c092af3219f112cb961d1258320f8483ce115fc1bbf168e	148	1
812e48c3380952445cd68d313d46c8f0d260619941652477aa1a49fd346d37a5	148	1
b7d3eb0db28dbdf3fe35a7c7d771fcaebd0323389c891849547601dad46d4e35	148	1
c9858a929d11167713916b686d010d7be629365b51f3f35717df9c5d8e79e2f0	148	1
f83b9ac1d3eac2c46e7d64a1f121f93ead497073f19dd65bf2d526676e251a90	148	1
f8c914624c504630d8f4a0733009037852a92382bb7f7259cf04ddb9e6203a8e	148	1
0495fd1933e44946f45f4c73359f2b114dd16b12edfe3ed7ecca4e55ae132a2b	144	1
7ad47fd9849faa7a87934058d918ff23d2e56e9955721e3e7710e2d25d4d5691	144	6
816b2bf143e525c9e03a82096c1bb5d7bb83593977b809303c5eda2c79293b10	144	6
d8a7804abbb693cdf832824e0683ba7445a54039b3fe48b2c50f0795b19fcfdf	144	3
f03ee78951fc67d0673a6a52ddbb4a6e567c4d74365df70e2e71e47772de959d	144	1
b72d4423bee37b34efcc44f44ef889eb5cb5c4111a1f55f5216c73eedd593cef	136	1
e5b43aad5898c72cb93b5ff536035984342fe341aae8fef73dfc19fe3fcd7c23	136	1
198b7e9b8c3d2a1552f6df7581acc9f690334215ec535bd5dbed86108ed65ae9	128	1
1e057357226e99c9207ec3245e576e826cefc2268525713fb79ee1d2a0cf9c9b	128	1
51e2df5df35e0c78f2d6f51bd676c7c9cff213b9cbd61dd3ed1eb5de0c99e454	128	1
57d247744b80c373340d2936b58be068cad1592bfa67f27f90679fcd7943d7d1	128	1
6a04df60ca57e7d15fa276a2554334fdc67fae78eb8010db7575a238225a09b7	128	2
768b1d3877a755805fb8b0e8c90a70e4102fb271726834eccd1934583b200540	128	1
e722f1fd05a3d869c1a72eaabcb9323cd25d86a610362b3b95123ea9c1780fe1	128	4
e7c4d1e641be3dee8a2c6ba7c31c3c3b1cfdcdf4a1106fd922dac644ba1ec5a1	128	1
fb1f2048ee8be5f0ce92f2450771c5f3eeface13bd03baa01cd9ea4f1562a114	128	1
91eff752cc5109a11da1670ac5bfa24e0be76468c2d8b21a2047fd88abf4531e	121	4
daf024affc568853a32f551ecabbaabe6ad005324acd4304777412765456ff9a	120	1
f9207cfc984e24790b1f723160fcbad90f6d2f42d19a3793c8eeec7728599696	120	3
d8cd7ea33945fb0d771bf536464e4802c478b21f5306e73ad27de389a3e16b82	116	1
350e82cb33789002c06e2b9febd6ab799b77cdab4d0bebbc2908409673cf2cad	112	2
5a09ff7985e731e538923dbb348daf5f3ad5de42d3012bcd0fa3e6ea8d33c161	112	1
981c6ef021bdfe8b3f7e5f8a96baf39e34c6d9fd72a42ada17a3441fc9d6f44d	108	3
52fd6f2fdb960c75d6a302149ab0ebde810845295537508945823afeb4b84dd6	104	2
865e19a6cbd943d142d1dcc14ee92d2ebb07999cc3058cf259ab1cd586075385	104	1
52a4a0ca1b14b209ff494dddc71f2cdc286878eccc2e32133f42f0b6e0b9aad0	99	1
14c34d83827dfc38c7f0204ab94a250136b25dfcab7902d4dbcfc1bf9f39685d	96	1
1b41b4c90cd11a8fc95d510ffe45d155da782c76593f8725424caa71f1a178a5	96	3
31bbd5b78a030ef22c866978f570f339956f40758101982e843c85ba9d06b574	96	1
